# TamanhoVetor TempoMedio
100 0.000031
200 0.000037
300 0.000046
400 0.000046
500 0.000051
600 0.000053
700 0.000056
800 0.000064
900 0.000067
1000 0.000075
1100 0.000078
1200 0.000085
1300 0.000089
1400 0.000095
1500 0.000100
1600 0.000106
1700 0.000112
1800 0.000118
1900 0.000123
2000 0.000129
2100 0.000134
2200 0.000140
2300 0.000147
2400 0.000151
2500 0.000157
2600 0.000163
2700 0.000170
2800 0.000174
2900 0.000180
3000 0.000186
3100 0.000192
3200 0.000198
3300 0.000205
3400 0.000209
3500 0.000215
3600 0.000220
3700 0.000226
3800 0.000232
3900 0.000238
4000 0.000243
4100 0.000249
4200 0.000255
4300 0.000261
4400 0.000266
4500 0.000273
4600 0.000278
4700 0.000285
4800 0.000290
4900 0.000295
5000 0.000302
5100 0.000308
5200 0.000313
5300 0.000319
5400 0.000324
5500 0.000331
5600 0.000336
5700 0.000343
5800 0.000348
5900 0.000354
6000 0.000360
6100 0.000365
6200 0.000371
6300 0.000379
6400 0.000382
6500 0.000389
6600 0.000395
6700 0.000401
6800 0.000407
6900 0.000412
7000 0.000418
7100 0.000424
7200 0.000430
7300 0.000436
7400 0.000441
7500 0.000448
7600 0.000453
7700 0.000459
7800 0.000464
7900 0.000470
8000 0.000476
8100 0.000482
8200 0.000487
8300 0.000494
8400 0.000499
8500 0.000505
8600 0.000510
8700 0.000517
8800 0.000522
8900 0.000532
9000 0.000534
9100 0.000539
9200 0.000545
9300 0.000551
9400 0.000556
9500 0.000564
9600 0.000568
9700 0.000574
9800 0.000580
9900 0.000586
10000 0.000593
