# TamanhoVetor TempoMedio
100 0.000019
200 0.000044
300 0.000059
400 0.000077
500 0.000099
600 0.000126
700 0.000156
800 0.000192
900 0.000226
1000 0.000258
1100 0.000286
1200 0.000324
1300 0.000369
1400 0.000414
1500 0.000461
1600 0.000521
1700 0.000563
1800 0.000597
1900 0.000653
2000 0.000707
2100 0.000736
2200 0.000794
2300 0.000850
2400 0.000907
2500 0.000979
2600 0.001029
2700 0.001098
2800 0.001166
2900 0.001235
3000 0.001330
3100 0.001444
3200 0.001511
3300 0.001543
3400 0.001623
3500 0.001691
3600 0.001730
3700 0.001809
3800 0.001895
3900 0.001952
4000 0.002020
4100 0.002123
4200 0.002207
4300 0.002261
4400 0.002386
4500 0.002446
4600 0.002539
4700 0.002648
4800 0.002704
4900 0.002768
5000 0.002934
5100 0.003020
5200 0.003105
5300 0.003217
5400 0.003334
5500 0.003408
5600 0.003549
5700 0.003684
5800 0.003815
5900 0.003940
6000 0.003989
6100 0.004187
6200 0.004279
6300 0.004444
6400 0.004434
6500 0.004630
6600 0.004755
6700 0.004755
6800 0.004864
6900 0.005016
7000 0.005110
7100 0.005178
7200 0.005316
7300 0.005533
7400 0.005544
7500 0.005697
7600 0.005808
7700 0.005869
7800 0.006067
7900 0.006118
8000 0.006264
8100 0.006489
8200 0.006614
8300 0.006746
8400 0.006914
8500 0.007021
8600 0.007095
8700 0.007383
8800 0.007421
8900 0.007706
9000 0.007802
9100 0.007969
9200 0.008099
9300 0.008187
9400 0.008344
9500 0.008509
9600 0.008685
9700 0.008776
9800 0.009024
9900 0.009161
10000 0.009484
