# TamanhoVetor TempoMedio
100 0.000029
200 0.000067
300 0.000095
400 0.000112
500 0.000134
600 0.000158
700 0.000195
800 0.000227
900 0.000256
1000 0.000294
1100 0.000327
1200 0.000363
1300 0.000401
1400 0.000431
1500 0.000470
1600 0.000505
1700 0.000545
1800 0.000582
1900 0.000615
2000 0.000662
2100 0.000701
2200 0.000737
2300 0.000775
2400 0.000822
2500 0.000863
2600 0.000898
2700 0.000939
2800 0.000986
2900 0.001025
3000 0.001076
3100 0.001108
3200 0.001157
3300 0.001186
3400 0.001238
3500 0.001287
3600 0.001332
3700 0.001371
3800 0.001422
3900 0.001474
4000 0.001508
4100 0.001551
4200 0.001599
4300 0.001653
4400 0.001696
4500 0.001754
4600 0.001787
4700 0.001831
4800 0.001887
4900 0.001936
5000 0.001988
5100 0.002032
5200 0.002084
5300 0.002146
5400 0.002190
5500 0.002218
5600 0.002295
5700 0.002338
5800 0.002401
5900 0.002438
6000 0.002487
6100 0.002541
6200 0.002604
6300 0.002640
6400 0.002701
6500 0.002779
6600 0.002821
6700 0.002864
6800 0.002913
6900 0.002971
7000 0.003041
7100 0.003082
7200 0.003157
7300 0.003211
7400 0.003247
7500 0.003331
7600 0.003367
7700 0.003455
7800 0.003484
7900 0.003551
8000 0.003588
8100 0.003729
8200 0.003754
8300 0.003807
8400 0.003846
8500 0.003919
8600 0.003967
8700 0.004002
8800 0.004062
8900 0.004099
9000 0.004189
9100 0.004258
9200 0.004301
9300 0.004357
9400 0.004447
9500 0.004507
9600 0.004582
9700 0.004631
9800 0.004679
9900 0.004754
10000 0.004808
