# TamanhoVetor TempoMedio
100 0.000225
200 0.000618
300 0.001353
400 0.002413
500 0.003925
600 0.005438
700 0.007370
800 0.009414
900 0.011854
1000 0.014863
1100 0.017778
1200 0.021522
1300 0.025118
1400 0.029094
1500 0.033001
1600 0.037321
1700 0.042329
1800 0.047408
1900 0.052781
2000 0.058431
2100 0.064061
2200 0.070581
2300 0.076968
2400 0.083278
2500 0.091139
2600 0.098941
2700 0.107833
2800 0.114879
2900 0.122418
3000 0.131661
3100 0.139394
3200 0.148541
3300 0.157866
3400 0.167555
3500 0.177540
3600 0.187954
3700 0.198502
3800 0.209390
3900 0.220441
4000 0.231941
4100 0.243847
4200 0.255659
4300 0.267994
4400 0.280650
4500 0.293506
4600 0.306624
4700 0.320127
4800 0.333889
4900 0.347923
5000 0.362296
5100 0.376937
5200 0.391820
5300 0.407062
5400 0.422532
5500 0.438320
5600 0.454477
5700 0.470856
5800 0.487389
5900 0.504580
6000 0.521825
6100 0.539151
6200 0.557004
6300 0.575041
6400 0.593493
6500 0.612354
6600 0.631250
6700 0.650395
6800 0.669610
6900 0.689641
7000 0.709304
7100 0.731136
7200 0.751525
7300 0.771361
7400 0.793577
7500 0.815502
7600 0.836616
7700 0.861011
7800 0.882105
7900 0.904767
8000 0.927969
8100 0.951365
8200 0.975033
8300 0.999030
8400 1.023260
8500 1.047564
8600 1.072563
8700 1.097552
8800 1.122971
8900 1.148883
9000 1.174910
9100 1.201364
9200 1.225384
9300 1.256198
9400 1.276247
9500 1.303781
9600 1.337368
9700 1.364734
9800 1.393035
9900 1.421544
10000 1.450263
