# TamanhoVetor TempoMedio
100 0.000002
200 0.000003
300 0.000005
400 0.000007
500 0.000008
600 0.000010
700 0.000011
800 0.000013
900 0.000013
1000 0.000014
1100 0.000015
1200 0.000017
1300 0.000019
1400 0.000019
1500 0.000019
1600 0.000020
1700 0.000021
1800 0.000022
1900 0.000023
2000 0.000023
2100 0.000024
2200 0.000025
2300 0.000026
2400 0.000027
2500 0.000028
2600 0.000029
2700 0.000030
2800 0.000032
2900 0.000034
3000 0.000036
3100 0.000036
3200 0.000037
3300 0.000039
3400 0.000041
3500 0.000041
3600 0.000042
3700 0.000044
3800 0.000044
3900 0.000045
4000 0.000047
4100 0.000048
4200 0.000054
4300 0.000050
4400 0.000051
4500 0.000051
4600 0.000053
4700 0.000053
4800 0.000055
4900 0.000056
5000 0.000057
5100 0.000058
5200 0.000059
5300 0.000061
5400 0.000062
5500 0.000063
5600 0.000064
5700 0.000065
5800 0.000067
5900 0.000068
6000 0.000069
6100 0.000070
6200 0.000072
6300 0.000073
6400 0.000074
6500 0.000075
6600 0.000077
6700 0.000078
6800 0.000079
6900 0.000080
7000 0.000081
7100 0.000083
7200 0.000084
7300 0.000085
7400 0.000085
7500 0.000087
7600 0.000088
7700 0.000089
7800 0.000090
7900 0.000091
8000 0.000092
8100 0.000094
8200 0.000095
8300 0.000096
8400 0.000097
8500 0.000099
8600 0.000099
8700 0.000101
8800 0.000102
8900 0.000103
9000 0.000104
9100 0.000106
9200 0.000107
9300 0.000109
9400 0.000109
9500 0.000110
9600 0.000111
9700 0.000113
9800 0.000114
9900 0.000115
10000 0.000116
