# TamanhoVetor TempoMedio
100 0.000103
200 0.000328
300 0.000680
400 0.001198
500 0.001885
600 0.002717
700 0.003688
800 0.004789
900 0.006059
1000 0.007482
1100 0.009090
1200 0.010777
1300 0.012625
1400 0.014636
1500 0.016807
1600 0.019185
1700 0.021688
1800 0.024248
1900 0.027013
2000 0.029940
2100 0.032967
2200 0.036310
2300 0.039630
2400 0.043121
2500 0.046906
2600 0.050640
2700 0.054565
2800 0.058594
2900 0.062898
3000 0.067376
3100 0.071762
3200 0.076567
3300 0.081299
3400 0.086388
3500 0.091696
3600 0.097009
3700 0.102285
3800 0.107888
3900 0.113584
4000 0.119937
4100 0.126830
4200 0.132021
4300 0.138080
4400 0.144372
4500 0.151554
4600 0.158418
4700 0.165158
4800 0.172118
4900 0.179636
5000 0.187304
5100 0.194918
5200 0.202074
5300 0.210135
5400 0.217995
5500 0.226009
5600 0.234535
5700 0.245920
5800 0.252161
5900 0.260215
6000 0.269516
6100 0.278400
6200 0.287545
6300 0.297122
6400 0.306450
6500 0.315529
6600 0.326096
6700 0.338355
6800 0.347038
6900 0.356931
7000 0.366616
7100 0.376640
7200 0.388659
7300 0.399197
7400 0.410020
7500 0.421211
7600 0.431124
7700 0.443320
7800 0.455067
7900 0.467992
8000 0.478197
8100 0.491352
8200 0.507351
8300 0.515957
8400 0.529396
8500 0.542312
8600 0.555498
8700 0.565901
8800 0.581149
8900 0.597140
9000 0.610488
9100 0.621683
9200 0.633003
9300 0.646798
9400 0.661496
9500 0.677431
9600 0.689715
9700 0.709876
9800 0.719710
9900 0.734784
10000 0.749694
