# TamanhoVetor TempoMedio
100 0.000207
200 0.000626
300 0.001345
400 0.002390
500 0.003742
600 0.005382
700 0.007332
800 0.009574
900 0.012111
1000 0.014955
1100 0.018100
1200 0.021562
1300 0.025293
1400 0.029333
1500 0.033690
1600 0.038327
1700 0.043270
1800 0.048508
1900 0.054039
2000 0.059893
2100 0.066029
2200 0.072626
2300 0.079361
2400 0.086157
2500 0.093502
2600 0.101240
2700 0.109228
2800 0.117367
2900 0.125932
3000 0.134819
3100 0.143862
3200 0.153177
3300 0.162960
3400 0.172891
3500 0.183248
3600 0.194056
3700 0.204982
3800 0.216097
3900 0.227546
4000 0.238462
4100 0.252852
4200 0.263800
4300 0.277173
4400 0.289860
4500 0.303574
4600 0.318181
4700 0.330957
4800 0.344816
4900 0.360294
5000 0.374665
5100 0.389603
5200 0.404776
5300 0.420350
5400 0.436456
5500 0.454545
5600 0.471224
5700 0.488489
5800 0.506116
5900 0.523356
6000 0.539888
6100 0.557961
6200 0.578034
6300 0.595381
6400 0.616805
6500 0.636501
6600 0.653880
6700 0.674133
6800 0.695672
6900 0.714748
7000 0.737897
7100 0.759846
7200 0.778294
7300 0.801284
7400 0.826886
7500 0.846584
7600 0.869506
7700 0.896735
7800 0.916069
7900 0.938435
8000 0.966325
8100 0.989485
8200 1.013070
8300 1.038128
8400 1.060103
8500 1.084209
8600 1.109632
8700 1.136107
8800 1.162682
8900 1.189886
9000 1.215211
9100 1.242297
9200 1.270377
9300 1.299070
9400 1.326954
9500 1.355454
9600 1.386279
9700 1.417207
9800 1.443014
9900 1.474876
10000 1.504369
