# TamanhoVetor TempoMedio
100 0.000040
200 0.000080
300 0.000113
400 0.000140
500 0.000166
600 0.000207
700 0.000246
800 0.000283
900 0.000325
1000 0.000362
1100 0.000405
1200 0.000449
1300 0.000489
1400 0.000532
1500 0.000569
1600 0.000613
1700 0.000660
1800 0.000702
1900 0.000743
2000 0.000782
2100 0.000826
2200 0.000874
2300 0.000922
2400 0.000970
2500 0.001011
2600 0.001054
2700 0.001100
2800 0.001146
2900 0.001187
3000 0.001226
3100 0.001282
3200 0.001326
3300 0.001372
3400 0.001419
3500 0.001465
3600 0.001510
3700 0.001555
3800 0.001597
3900 0.001640
4000 0.001681
4100 0.001722
4200 0.001774
4300 0.001826
4400 0.001878
4500 0.001930
4600 0.001979
4700 0.002028
4800 0.002076
4900 0.002123
5000 0.002166
5100 0.002211
5200 0.002259
5300 0.002307
5400 0.002371
5500 0.002404
5600 0.002456
5700 0.002622
5800 0.002543
5900 0.002583
6000 0.002629
6100 0.002690
6200 0.002718
6300 0.002771
6400 0.002823
6500 0.002876
6600 0.002930
6700 0.002980
6800 0.003031
6900 0.003081
7000 0.003131
7100 0.003179
7200 0.003237
7300 0.003273
7400 0.003318
7500 0.003365
7600 0.003410
7700 0.003453
7800 0.003498
7900 0.003542
8000 0.003588
8100 0.003632
8200 0.003676
8300 0.003730
8400 0.003784
8500 0.003853
8600 0.003892
8700 0.003949
8800 0.004001
8900 0.004056
9000 0.004112
9100 0.004164
9200 0.004217
9300 0.004269
9400 0.004318
9500 0.004370
9600 0.004433
9700 0.004470
9800 0.004520
9900 0.004564
10000 0.004613
