# TamanhoVetor TempoMedio
100 0.000025
200 0.000053
300 0.000075
400 0.000098
500 0.000127
600 0.000162
700 0.000189
800 0.000250
900 0.000256
1000 0.000293
1100 0.000322
1200 0.000358
1300 0.000402
1400 0.000427
1500 0.000469
1600 0.000503
1700 0.000536
1800 0.000577
1900 0.000616
2000 0.000649
2100 0.000695
2200 0.000730
2300 0.000768
2400 0.000809
2500 0.000850
2600 0.000892
2700 0.000926
2800 0.000963
2900 0.001009
3000 0.001050
3100 0.001094
3200 0.001138
3300 0.001179
3400 0.001229
3500 0.001276
3600 0.001322
3700 0.001354
3800 0.001412
3900 0.001450
4000 0.001500
4100 0.001545
4200 0.001654
4300 0.001647
4400 0.001681
4500 0.001723
4600 0.001779
4700 0.001810
4800 0.001870
4900 0.001910
5000 0.001956
5100 0.002007
5200 0.002082
5300 0.002113
5400 0.002168
5500 0.002211
5600 0.002262
5700 0.002343
5800 0.002372
5900 0.002400
6000 0.002464
6100 0.002525
6200 0.002577
6300 0.002636
6400 0.002682
6500 0.002756
6600 0.002853
6700 0.002843
6800 0.002886
6900 0.002943
7000 0.003045
7100 0.003059
7200 0.003137
7300 0.003166
7400 0.003216
7500 0.003286
7600 0.003347
7700 0.003357
7800 0.003451
7900 0.003524
8000 0.003550
8100 0.003613
8200 0.003692
8300 0.003718
8400 0.003793
8500 0.003826
8600 0.003911
8700 0.004007
8800 0.004016
8900 0.004111
9000 0.004149
9100 0.004232
9200 0.004271
9300 0.004358
9400 0.004397
9500 0.004490
9600 0.004510
9700 0.004590
9800 0.004674
9900 0.004686
10000 0.004805
