# TamanhoVetor TempoMedio
100 0.000112
200 0.000349
300 0.000678
400 0.001198
500 0.001885
600 0.002711
700 0.003685
800 0.004784
900 0.006057
1000 0.007476
1100 0.009058
1200 0.010774
1300 0.012620
1400 0.014623
1500 0.016786
1600 0.019168
1700 0.021662
1800 0.024311
1900 0.026984
2000 0.029917
2100 0.032941
2200 0.036534
2300 0.039592
2400 0.043080
2500 0.046936
2600 0.050594
2700 0.054667
2800 0.058842
2900 0.063103
3000 0.067577
3100 0.071763
3200 0.076569
3300 0.082292
3400 0.087278
3500 0.092442
3600 0.097065
3700 0.102283
3800 0.107889
3900 0.113593
4000 0.119510
4100 0.125620
4200 0.131783
4300 0.137998
4400 0.144311
4500 0.151487
4600 0.158376
4700 0.165134
4800 0.172828
4900 0.179819
5000 0.186884
5100 0.194760
5200 0.201985
5300 0.210343
5400 0.218016
5500 0.226059
5600 0.234403
5700 0.242978
5800 0.251560
5900 0.260307
6000 0.269118
6100 0.278260
6200 0.287614
6300 0.296951
6400 0.306085
6500 0.315422
6600 0.325969
6700 0.336492
6800 0.345960
6900 0.355848
7000 0.368174
7100 0.379209
7200 0.387878
7300 0.398928
7400 0.409406
7500 0.420009
7600 0.431077
7700 0.442903
7800 0.454902
7900 0.466982
8000 0.477772
8100 0.490354
8200 0.502223
8300 0.514857
8400 0.527447
8500 0.539475
8600 0.553091
8700 0.566573
8800 0.579090
8900 0.592292
9000 0.608026
9100 0.620143
9200 0.633906
9300 0.647283
9400 0.661704
9500 0.675626
9600 0.689443
9700 0.703767
9800 0.718631
9900 0.733217
10000 0.748784
