# TamanhoVetor TempoMedio
100 0.000087
200 0.000277
300 0.000528
400 0.000937
500 0.001458
600 0.002095
700 0.002894
800 0.003727
900 0.004900
1000 0.005800
1100 0.007014
1200 0.008348
1300 0.009789
1400 0.011350
1500 0.013032
1600 0.014827
1700 0.016733
1800 0.018759
1900 0.020900
2000 0.023151
2100 0.025527
2200 0.028012
2300 0.030619
2400 0.033329
2500 0.036168
2600 0.039116
2700 0.042181
2800 0.045361
2900 0.048651
3000 0.052066
3100 0.055598
3200 0.059241
3300 0.062991
3400 0.066864
3500 0.070860
3600 0.074968
3700 0.079181
3800 0.083518
3900 0.087971
4000 0.092536
4100 0.097205
4200 0.102021
4300 0.106933
4400 0.111960
4500 0.117101
4600 0.122362
4700 0.127742
4800 0.133230
4900 0.138710
5000 0.144559
5100 0.150397
5200 0.156328
5300 0.162433
5400 0.168603
5500 0.174934
5600 0.181346
5700 0.187877
5800 0.194492
5900 0.201274
6000 0.208186
6100 0.215112
6200 0.222242
6300 0.229415
6400 0.236710
6500 0.244118
6600 0.251662
6700 0.259200
6800 0.267017
6900 0.274794
7000 0.282680
7100 0.290632
7200 0.298854
7300 0.307094
7400 0.315560
7500 0.324090
7600 0.328718
7700 0.342023
7800 0.349449
7900 0.358109
8000 0.366991
8100 0.376321
8200 0.385562
8300 0.394194
8400 0.404413
8500 0.414162
8600 0.423213
8700 0.435322
8800 0.442768
8900 0.453647
9000 0.464367
9100 0.473622
9200 0.485145
9300 0.494572
9400 0.504428
9500 0.516723
9600 0.526188
9700 0.537171
9800 0.547758
9900 0.558631
10000 0.569702
